Tweet,Over-all_Complaint Label,Cause,Sentiment,Emotion,,,,,,,,,Complaint_Cause,Sentiment,Emotion
RT @sardesairajdeep: Bring in a law that denies ministerships office of profit for at least 5 years  to all those who defect/switch parties.,1,denies ministerships office of profit for at least 5 years  to all those who defect/switch parties,Negative,Other,,,,,,,,,,,
@DavidLochanB Riyal + The idea of chemical engineering was started by Profit,0,No-Cause,Neutral,Other,,,,,,,,,,,
Don't miss out on the opportunity to invest in DCX through our IDO launch on D- Chain by D-Ecosystem.,0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @kurtiveson: It seems developers and superannuation funds can build housing, hold on to it, rent it to people, and make long-term profit.",0,No-Cause,Neutral,Other,,,,,,,,,,,
"  The American strategy is clear: production of weapons, sales through provoked wars .",0,No-Cause,Neutral,Other,,,,,,,,,,,
"  @Skoldylox @CalNurses @Hollywood4Care Patient-centered healthcare, or profit-centric healthcare?  ",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @soniasodha: We don't allow profit-making state schools, yet we allow private companies to be responsible for the round-the-clock care .",1,"We don't allow profit-making state schools, yet we allow private companies to be responsible for the round-the-clock care",Negative,Other,,,,,,,,,,,
@WhaleChart I'm down. Send me the 28k and I'll pocket the 1k profit.,0,No-Cause,Neutral,other,,,,,,,,,,,
The whole point of a raffle is profit. If you don't need money then do a giveaway. https://t.co/yiG2g7VWh8,0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @NateB_Panic: This case reveals what many of us suspected but haven't seen confirmed in so many words.,0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @rustyrockets: This river belongs to everybody!

@thameswater should be extracting poo and leaving the profit, not pumping in poo .",1,"should be extracting poo and leaving the profit, not pumping in poo",Negative,Sad,,,,,,,,,,,
More profit in munitions rather than aircraft. If the US was serious about helping  then they won't. https://t.co/NO5bDbRCGC,1,US was serious about helping  then they won't,Negative,Sad,,,,,,,,,,,
"RT @RoccobullboTTom: $igu achieved 35% profit so far .

Meanwhile, the setup is still valid for entering now. Priority of going much higher.",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @Wtfagain5: Clean water should not be a second thought for anyone living in the US! @lmauricecpr works and fights,tirelessly, day in andout.",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @PopBase: BLACKPINK accounts for more than 85% of YG Entertainment's operating profit, Hyundai Motor Securities reports. ",0,,Positive,Happy,,,,,,,,,,,
"  Provider status for what, creating another profit driven metric to meet? Am I going to need this?",1,"The speaker is expressing frustration and skepticism about the concept of ""Provider status"" and its potential to create profit-driven metrics",Negative,Other,,,,,,,,,,,
,,,,,,,,,,,,,,,
"RT @KirtiJi4: #GodMorningSunday 
Shri Mad Bhagwat Geeta ji proves that the sadhaks who do sadhna with their arbitrary wish like hatha yoga and gain extreme profit. ",0,No-Cause,Positive,Other,,,,,,,,,,,
"RT @rajatsonifnance: Debt is slavery

When you take on debt, someone else is using you to make a profit.",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @mjdaly57: Rachel Reeves is on the take,
A handsome profit she doth make,
Donations here, expenses there.",1,Rachel Reeves takes money from donations and expenses,Negative,Other,,,,,,,,,,,
"  Why are you make dishonourable Hindu Culture just for your own profit
Help  who come  your country to visit.",1,"speaker is expressing dissatisfaction or disapproval about someone's actions that they perceive as dishonoring Hindu culture for personal gain, and they are also urging for assistance for visitors to the country",Negative,Sad,,,,,,,,,,,
"RT @GlobalJusticeUK: Big oil companies are raking in hundreds of billions in profit, while millions of people are facing climate chaos. .",1, Big oil companies are raking in hundreds of billions in profit for that millions of people are facing climate chaos,Negative,Sad,,,,,,,,,,,
@RishiSunak Somewhere there is a Tory who owns a barge making company making a profit along.,1,Negative View on Tory as a Tory who owns a barge making company making a profit along,Negative,Other,,,,,,,,,,,
See where these bastard  always chat rubbish about Nigerian artists .,1,these bastard  always chat rubbish about Nigerian artists,Negative,Sad,,,,,,,,,,,
Hearing loss will get you out of jury duty in a pinch.,0,No-Cause,Neutral,Other,,,,,,,,,,,
@JamesCWarne So sorry for your own loss James.,0,No-Cause,Negative,Sad,,,,,,,,,,,
"RT @mchaleshndez: 3 years ago today naya rivera saved her son.

Naya's loss is immeasurable, and her tenacity, quick wit will be remembered. ",0,No-Cause,Negative,Sad,,,,,,,,,,,
"RT @Wizarab10: The person who stand to be at a greater loss, owes themselves the greater responsibility to protect themselves.

Mind whereâ€¦",0,No-Cause,Neutral,Other,,,,,,,,,,,
"  Sorry for your loss
MY Mother died last year
I know what you are going through.",0,No-Cause,Negative,Sad,,,,,,,,,,,
" Also he let his weight loss get to his head, this man has his head so far up his ass he's lost.",1,"criticism about the person's behavior and attitude because he let his weight loss get to his head, this man has his head so far up his ass he's lost.",Negative,Sad,,,,,,,,,,,
"RT @TheManMakerx: Never show weakness to women.

They will give you sympathy followed by loss of interest in you.

Women hate weak men.",0,No-Cause,Negative,Other,,,,,,,,,,,
"RT @IfyAniebo: I just saw a Nigerian aesthetician promoting ozempic for weight loss on Instagram.

Ozempic is a drug for Type 2 Diabetes.",1," Nigerian aesthetician promoting ozempic for weight loss on Instagram and
Ozempic is a drug for Type 2 Diabetes",Negative,Sad,,,,,,,,,,,
"RT @SundayTimesZA: The broadcaster is poised to announce a Rps.1bn loss, and will not be able to pay salaries.
https://t.co/LjJVVuykbJ",1,negative news being conveyed about the broadcaster's financial situation and its inability to pay salaries,Negative,Other,,,,,,,,,,,
"RT @HemadriInc: Disclaimer:
We are not SEBI registered analyst. We are not responsible for any profits or loss.
Whatever trades happen , happen.",0,No-Cause,Neutral,Other,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RT @SabinehazanMD: A pet scan will not show you microbiome dysbiosis or loss of Bifidobacteria. Long covid is from spike protein.,1,A pet scan will not show you microbiome dysbiosis or loss of Bifidobacteria,Negative,Other,,,,,,,,,,,
"@Travis_in_Flint Enjoy another loss, losers",0,No-Cause,Negative,Happy,,,,,,,,,,,
"RT @37VManhas: Tragic news coming..
We have lost 

NAIB SUBEDAR KULDEEP SINGH #IndianArmy

while crossing a river during an Area Domination.",1,"We have lost, IndianArmy,
NAIB SUBEDAR KULDEEP SINGH 
while crossing a river during an Area Domination.",Negative,Sad,,,,,,,,,,,
@Nottdexx Their loss,1,Loss,Negative,sad,,,,,,,,,,,
"RT @Wizarab10: The person who stand to be at a greater loss, owes themselves the greater responsibility to protect themselves.",0,No-Cause,Positive,Other,,,,,,,,,,,
"  Well, good to know you are sad. But also a loss for freedom-loving, law-abiding, and Trump opposing Americans.",1," loss for freedom-loving, law-abiding, and Trump opposing Americans",Negative,Sad,,,,,,,,,,,
RT @SueRamsey10: @thejackhopkins It's amazing how many kind and caring people are assembled here from every walk of life and every age.,0,many kind and caring people are assembled here from every walk of life and every age,Positive,Happy,,,,,,,,,,,
"RT @SaharAmarir: I am at loss of words for what is happening in France. Police kills a teen, detains and condemns hundreds.",1,"Police kills a teen, detains and condemns hundreds in France",Negative,Sad,,,,,,,,,,,
C'mon! You did what you felt like doing. It's his loss.,0,No-Cause,Positive,other,,,,,,,,,,,
horticulture department should take rounds in this rain and immediately take steps for trees .,0,No-Cause,Neutral,other,,,,,,,,,,,
"RT @alaskadogstead: As my sweet sister-in-law mourns the loss of very old man Rocco today, I want to take this moment .",1,Death of very old man Rocco today,Negative,Sad,,,,,,,,,,,
"Headlines disappear
And peoples memories related to incidents fade and disappear over time

Who gains?
Who's loss?",1,"Headlines disappear
And peoples memories related to incidents fade and disappear over time",Negative,Sad,,,,,,,,,,,
The gap is reducing. Aus investing in their women's team after the 2017 SF loss ensured them.,0, Aus investing in their women's team,Positive,Happy,,,,,,,,,,,
"RT @SDsridivya: Watch the video exposing #TouchPool cruelty. Animals endure handling, harassment, and loss of freedom.",1,"Video exposing animal cruelty,harassment and loss of freedom",Negative,other,,,,,,,,,,,
"RT @KleinRevd: #Shitweasel, who is going to pay and compensate them for their loss, a loss based on a manufactured lie. ",1,a loss based on a manufactured lie is going to be paid by whom,Negative,other,,,,,,,,,,,
"RT @muluAbr: Criticism has been directed at the church for not condemning the war, which resulted in the loss of hundreds of thousands ",1,War which resulted in lots of loss was not condemned by the church,Negative,Angry,,,,,,,,,,,
@HannesLotter24 I respect your decision. Silly of them as one cannot put a price to loyalty. Their loss.,0,No-Cause,Positive,other,,,,,,,,,,,
RT @QTitan001: @catsscareme2021 Sorry for your loss of your precious boy. My heart breaks everytime I see this.,1,Precious boy died,Negative,Sad,,,,,,,,,,,
"RT @RMacStanley: The people that Trump had in the Oval Office, telling him how to fight back his 2020 election loss, is stunning. ",1,The sentence implies that the individuals advising Trump in the Oval Office to contest his 2020 election loss were notable or surprising in a negative way.,Negative,Sad,,,,,,,,,,,
RT @sippingaugust: I think this scene hits so hard because we can forget how painful it is for Taylor to lose her old work.,0,can forget how painful it is for Taylor to lose her old work,Positive,Empathy,,,,,,,,,,,
They always forget it was gaon's fault and proceeds to blame everyone but gaon. They have selected memory loss .,1,Blame everyone except Gaon because they forgot Gaon's Fault,Negative,Sad,,,,,,,,,,,
"RT @FootballTalkHQ: Sergio Rico lost more than 20kg in the intensive care unit resulting in a loss of around 30% of his muscle mass. 

Theâ€¦",1,Sergio Rico lost more than 20kg in the intensive care unit resulting in a loss of around 30% of his muscle mass,Negative,Sad,,,,,,,,,,,
"RT @Kuki_Inpi: Waking up to despair yet again, the loss of the lives of two brothers at Kangvai, Lamka, who were shot dead .",0,No-Cause,Negative,sad,,,,,,,,,,,
RT @transwidows: Thank you for all your messages about the new CPS guidance. Feeling very shaken that being a trans widow seems to be problematic.,0, Feeling very shaken that being a trans widow seems to be problematic.,Negative,concerned,,,,,,,,,,,
"  Sorry for your loss, but the problem is the Tory government gutting the NHS.",0, the problem is the Tory government gutting the NHS.,Negative,criticism,,,,,,,,,,,
"RT @IfyAniebo: I just saw a Nigerian aesthetician promoting ozempic for weight loss on Instagram.

Ozempic is a drug for Type 2 Diabetes.",1,"a Nigerian aesthetician promoting ozempic for weight loss on Instagram.

Ozempic is a drug for Type 2 Diabetes.",negative,sad,,,,,,,,,,,
"RT @Josef1221: Criticism has been directed at the church for not condemning the war, which resulted in the loss of hundreds of thousands .",1,"Criticism has been directed at the church for not condemning the war, which resulted in the loss of hundreds of thousands .",Negative,sad,,,,,,,,,,,
"The loss of $100 million by Atomic Wallet raises concerns about the security of self-custody wallets.

#TradeCoinD2â€¦ https://t.co/Q4DRwuoXvC",0,no cause,Negative,sad,,,,,,,,,,,
RT @aftab85149: Many have suffered a deadly stroke hitting to their interests and loss of fair memory after IK's ouster.,0,no cause,Negative,concerned,,,,,,,,,,,
May his soul rest in peace and pray for his family to overcome the loss and get the required help+ support.,0,no cause,Neutral,sad,,,,,,,,,,,
@Daph_nine Even if he did its an immediate teamfight loss if he hopped over there cuz his team has no tank,1,,Negative,other,,,,,,,,,,,
@Jemjigyu Its ok it's their loss,0,no cause,Neutral,other,,,,,,,,,,,
@TradeCoinD2 @CryptoNewsD2 The loss of $100 million by Atomic Wallet raises concerns .,0,no cause,Negative,concern,,,,,,,,,,,
@Th3_Ajaxx Sorry for my loss my friend. He was always a good boy,0,no cause,Neutral,other,,,,,,,,,,,
RT @bala_vidya: New to mutual funds and want to know how to calculate and read fund returns right? Here's your solution.,0,no cause,Neutral,informational,,,,,,,,,,,
RT @padhucfp: Mutual funds are far more transparent than the products we consume regularly .,0,no cause ,positive,other,,,,,,,,,,,
RT @KotakMF: Want to know about the key features of mutual funds? Watch the video. Answer the contest question at the end of the video .�,0,no cause ,neutral,other,,,,,,,,,,,
"  @swiveleyed24 @MickamiousG @WallStreetSilv Not to mention , most debt is held domestically. ",0,no cause ,neutral,other,,,,,,,,,,,
"Mutual Funds: How you Can Invest in Them Unlike individual stock picking, mutual funds expose you to many stocks.",0,no cause,positive,other,,,,,,,,,,,
"Join me on Groww to invest in Stocks and Direct Mutual Funds.
Create your free demat account by using this link .",0,no cause,positive,encouraging ,,,,,,,,,,,
"RT @kahome_steve: First, what is a portfolio?

A portfolio is a collection of assets owned by one person or entity.",0,no cause,neutral,informational,,,,,,,,,,,
RT @KotakMF: Want to know about the key features of mutual funds? Watch the video. Answer the contest question at the end of the video .,0,no cause,positive ,informational ,,,,,,,,,,,
RT @upstox: Invest in  Top Rated Mutual Funds on Upstox. Also view detailed insights on every fund - CAGR .,0,no cause ,positive,informational ,,,,,,,,,,,
Are your mutual fund investments well diversified? Find out your funds overlap using our portfolio overlap tool .,0,no cause ,neutral ,informational ,,,,,,,,,,,
RT @TheOfficialSBI: Easy steps to invest in SBI mutual funds through YONO App.,0,no cause ,positive ,informational ,,,,,,,,,,,
These money and investing tips are designed to fit any stock and bond portfolio.,0,no cause ,positive ,informational ,,,,,,,,,,,
"RT @SophiasMama_: URGENT MUTUAL AID REQUEST
Can anyone please spare a few dollars so my daughter and I can get food? ",0,no cause,negative,distress,,,,,,,,,,,
"RT @geekyranjit: @ra_roscolu @vivbajaj No, nothing in options or futures... I just don't like that much risk but I am a lazy trader .",0,no cause,neutral,other,,,,,,,,,,,
@MBPatil The majority of the techies and young crowd prefer mutual funds over these chit funds.,0,no cause ,neutral ,other,,,,,,,,,,,
RT @EconomicTimes: You should be extremely careful when you are #investing for a relatively short period. The risk of short-term losses is huge.,0,no cause,neutral,informational ,,,,,,,,,,,
"@DYOLSlNGH If new invest half of your savings in an index fund of any big mutual funds- SBI, ICICI, Hdfc etc. that will be good enough.",0,no cause ,neutral ,informational ,,,,,,,,,,,
RT @BlPortfolio: ICICI Prudential Regular Savings: For the conservative investor looking to beat inflation.,0,no cause,positive ,informational ,,,,,,,,,,,
RT @BlPortfolio: Has high churning helped equity MFs?,0,no cause,neutral ,questioning,,,,,,,,,,,
RT @PreetiZende: Do not let the lifestyle inflation catch you up as one gets tempted to increase in salary means an increase in consumption.,0,no cause ,neutral ,informational ,,,,,,,,,,,
@MBPatil Do a similar comparison between Mutual funds in Karnataka and Kerala. You will get your answer ..,0,no cause ,neutral ,informational ,,,,,,,,,,,
@HarshWTiwari1 Most of the good mutual funds. I will not name since it is against the law.,0,no cause ,neutral ,other,,,,,,,,,,,
RT @padhucfp: Mutual funds are far more transparent than the products we consume regularly ðŸ˜œ Interesting  Forward https://t.co/Q5d0â€¦,0,no cause ,neutral ,informational ,,,,,,,,,,,
@TrumpIsBack7 Only mutual funds not individually own stocks,0,no cause ,neutral ,informational ,,,,,,,,,,,
ICICI Prudential Regular Savings: For the conservative investor looking to beat inflation.,0,no cause ,neutral ,informational ,,,,,,,,,,,
"We are pooling for Sacramento Punks with Lunch (@PunksWLunchSac), a 100% volunteer run, community funded mutual aid.",0,no cause ,neutral ,informational ,,,,,,,,,,,
@chartians Just stay invested .. Don't try to time markets for mutual funds,0,no cause ,neutral ,informational ,,,,,,,,,,,
RT @DezervHQ: Identify underperforming mutual funds in your portfolio now!,0,no cause ,neutral ,informational ,,,,,,,,,,,
"RT @Vivek_Investor: Many Twitter handles are sharing the performance of mutual funds.

Past performance may or may not repeat in future.",0,no cause ,neutral ,informational ,,,,,,,,,,,
"RT @MiraeAssetFin: Redeeming Mutual Funds to manage expenses?
Instead get Loan Against Mutual Funds in just 15 Mins

â€¢ ROI @ 9% p.a
â€¢ 100%â€¦",0,no cause,neutral,advice,,,,,,,,,,,
"RT @MiraeAssetFin: Redeeming Mutual Funds to manage expenses?
Instead get Loan Against Mutual Funds in just 15 Mins

â€¢ ROI @ 9% p.a
â€¢ 100%â€¦",0,no cause,neutral,advice,,,,,,,,,,,
BRICS Gold-Backed Common Currency A Shock To Global Fiat Money.,0,no cause ,neutral ,informational ,,,,,,,,,,,
"RT @DividendIncome_: If you enjoyed this thread, please like, comment and bookmark the first tweet hereunder.

I write about:

- Stock Market.",0,no cause,neutral,other,,,,,,,,,,,
"RT @CONative007: @atensnut @ChuckCallesto Do ya'all think that companies are doing this, knowing full well what will happen to their stock?",0,no cause ,neutral,questioning,,,,,,,,,,,
"RT @Inspiratiel0_0s: Hey everyone! 

Exciting news! This week, I officially joined the Verge Currency Core Team.",0,no cause,positive ,excitement ,,,,,,,,,,,
"Ambuja Cements Ltd. is a cement manufacturer with a market cap of INR 85,680 cr
The stock is also looking weak .",0,no cause,negative,other,,,,,,,,,,,
"  Bro is inclining in his career,still a good stock in the European market. Why disturb my growth ?",0,no cause,positive ,other/happy,,,,,,,,,,,
My mood goes up and down like the stock market,0,no cause ,neutral,other,,,,,,,,,,,
Pakistan is world's best performing #StockMarket during the week - https://t.co/ARdjOS8UFV https://t.co/qg1QwLaWZN https://t.co/OO7lx6oMBC,0,no cause,positive,other,,,,,,,,,,,
Explainer | What is derivatives in #StockMarket? --- A beginner's guide - CNBCTV18 https://t.co/V4O2Vrc4zj https://t.co/08JpBMY1Tz,0,no cause ,neutral,other,,,,,,,,,,,
Foreigners return to selling spree in Korean #StockMarket - koreatimes https://t.co/qkT3e6Tna9 https://t.co/4sjHSvD6f1,0,no cause,neutral ,other,,,,,,,,,,,
The #StockMarket correction is a once-in-a-decade chance to buy high-yield #Stocks! - Yahoo Eurosport UK https://t.co/FNgM7x7oet,0,no cause ,neutral ,neutral,,,,,,,,,,,
#Blockchain And #Crypto: Are They Heading Towards Centralization ... -,0,no cause,neutral,curiosity,,,,,,,,,,,
GALA #Crypto Price Prediction June 2023 - #Crypto News Flash https://t.co/q8xdNXxopj https://t.co/sSe7J4lWn0,0,no cause,neutral,other,,,,,,,,,,,
#Bitcoin's Decline Ignites Interest in Solana and DogeMiyagi: Top ... - Analytics Insight https://t.co/Shwew7QWd9 https://t.co/K8prsau3s7,0,no cause,neutral,other,,,,,,,,,,,
"Best meme coin? Meme Coin Mania, #Crypto vs. Stocks, Is #Crypto ... - Euro Weekly News https://t.co/Bn79GF1Hta https://t.co/WJFPi2fazl",0,no cause,neutral,other,,,,,,,,,,,
"Expand your Asset Portfolio through US Stock Market Investing

Watch now: https://t.co/w3y5f2dcbP

Sign up with Shaâ€¦ https://t.co/HpdKhI0j7a",0,no cause,positive,other,,,,,,,,,,,
"RT @DividendGrowth: While the stock market either goes up or goes down

My dividends are paid on time, and increased too",0,no cause,neutral,other,,,,,,,,,,,
Thats why one should be mentally strong and practical before entering into stock market.,0,no cause,neutral,advice,,,,,,,,,,,
"  Why won't the bull run come after this, whereas in the stock market bull run keeps on coming ?",0,no cause,neutral,questioning,,,,,,,,,,,
" As a general rule of thumb, when the Federal Reserve cuts interest rates, it causes the stock market to be affected.",0,no cause,neutral,other,,,,,,,,,,,
RT @onehundredmph: Stock Market Short Sellers That Helped Fuel This Year  Rally Are Finally Giving Up.,0,no cause,neutral,other,,,,,,,,,,,
"  I wish like how HDFC ; HDFC Bank merged, HDFC life should merge with HDFC bank. let HDFC life run busines.",0,no cause,neutral,suggesting,,,,,,,,,,,
"As this is my final investment, I'll place gtt in every stock and let the market decide.",0,no cause,neutral,self opinion,,,,,,,,,,,
Need Fast Computer? Ironside #Computers #Gaming #Desktop Juicebox ATX Blueberry Intel $INTC Core i9 13th Gen .,0,no cause,neutral,self opinion,,,,,,,,,,,
RT @GRDecter: Good Morning Everyone! Here's a headline that really shows how bizarre of a time it is in the markets.,0,no cause,neutral,other,,,,,,,,,,,
"RT @GRDecter: This stock market has been incredibly resilient

The SP has gained 14.7% this year despite a bleak outlook at the start .",0,no cause,positive,amuzement,,,,,,,,,,,
"RT @WorldMagzine: The Record Date for Jio Financial Demerger was Announced Now
Learn More: https://t.co/Sl6we2CUD4",0,no cause,neutral,other,,,,,,,,,,,
"Investing in the stock market can be a profitable venture, but it's important to understand how gains.",0,no cause,positive,advice,,,,,,,,,,,
I'm not buying that corporations have any legal fiduciary responsibility to return any excess capital.,0,no cause,neutral,self opinion,,,,,,,,,,,
"$SMCI D

This stock has been killing the market, rising almost 250% for the year since January.",0,noo cause,neutral,self opinion,,,,,,,,,,,
RT @MarketMovesMatt: the stock market is the greatest teacher in the world and your losses are the lessons you need to learn.,0,no cause,neutral,opinion,,,,,,,,,,,
RT @NeriZilber: Netanyahu's judicial overhaul has cost Israel NIS 150 billion since January.,0,no cause,neutral,other,,,,,,,,,,,
The stock market is the number 1 cause of inflation and it is an abomination worse than crypto or bitcoin.,1,The stock market is the number 1 cause of inflation and it is an abomination worse than crypto or bitcoin.,negative,angry,,,,,,,,,,,
In stock market one is always believing on what he bought but sometimes one Should not be confident or over confident ?,0,no cause,neutral,advice,,,,,,,,,,,
"RT @InvestingCanons: ""People who succeed in the stock market also accept periodic losses, setbacks, and unexpected occurrences. Calamitous""",0,no cause,neutral,informative,,,,,,,,,,,
Paying my own MBA fees from the money I saved during my first job and profit from the stock market.,0,no cause,positive,happy,,,,,,,,,,,
How are people losing 17 lakhs in Stock Market and still getting capital to trade/invest from?,0,no cause,negative,surprise,,,,,,,,,,,
RT @mit_obe: The Japanese stock market rally has come on the back of a sharply weaker yen. It's still a rally and not a fake. But a rally .,0,The Japanese stock market rally has come on the back of a sharply weaker yen. It's still a rally and not a fake. But a rally .,neutral,other,,,,,,,,,,,
RT @Barchart: Stock Market Investors are the most bullish they've been since 2021 .,0,Stock Market Investors are the most bullish they've been since 2021 .,negative,concluding,,,,,,,,,,,
"RT @TuttleCapital: Bad news, stock market faithful: Traders who had spent the first half of the year furiously buying to cover their shorts.",0,"Bad news, stock market faithful: Traders who had spent the first half of the year furiously buying to cover their shorts.",negative,other,,,,,,,,,,,
Surging real yields spark worries over buoyant stock market - Financial Times https://t.co/pugYZ1v3QO,0,no cause,neutral,,,,,,,,,,,,
Stock market forecast for the next six months - USA TODAY https://t.co/A9WjSv1COk,0,no cause,neutral,informative,,,,,,,,,,,
Stock Market Short Sellers That Helped Fuel This Year's Rally Are Finally Giving Up - Bloomberg https://t.co/K66nvR9uH9,0,no cause,neutral,happy,,,,,,,,,,,
Left behind by 2023 stock-market rally? Use this kind of ETF to play catchup - MarketWatch https://t.co/nz7NdPO0ZZ,0,no cause,neutral,questioning,,,,,,,,,,,
Stock Market Outlook Next 6 Months: Why a Recession Is Still Coming - Business Insider https://t.co/v8GjnQ8Obc,1, Why a Recession Is Still Coming ,negative,sad,,,,,,,,,,,
5 things to know before the stock market opens Friday - CNBC https://t.co/Je54bc9xPG,0,no cause,neutral,informative,,,,,,,,,,,
5 things to know before the stock market opens Wednesday - CNBC https://t.co/i0MszSDVoD,0,no cause,neutral,informative,,,,,,,,,,,
How we're thinking about all 11 stock market sectors heading into ... - CNBC https://t.co/5Yl9UhITUA,0,no cause,neutral,curiosity,,,,,,,,,,,
5 things to know before the stock market opens Thursday - CNBC https://t.co/yvEmcA60TY,0,no cause,neutral,informative,,,,,,,,,,,
Jim Cramer's top 10 things to watch in the stock market Thursday ... - CNBC https://t.co/jBDIc2Lfgk,0,no cause,neutral,informative,,,,,,,,,,,
UK set to ease stock market listing rules - Reuters https://t.co/7Ssu9LMRob,0,no cause,neutral,informative,,,,,,,,,,,
Top 10 things to watch in the stock market Friday including a jobs ... - CNBC https://t.co/KuxJnhaal1,0,no cause,neutral,informative,,,,,,,,,,,
Stock Market Short Sellers That Helped Fuel This Year's Rally Are Finally Giving Up .,0,no cause,neutral,informative,,,,,,,,,,,
RT @BusinessInsider: Wall Street fearmongers keep warning that a recession and stock market crash are around the corner.,0,no cause,negative,other,,,,,,,,,,,
"RT @CryptoThro: If I sent you $2500 dollars today 

Which #cryptocurrency would you buy? ",0,no cause,neutral,other,,,,,,,,,,,
"RT @Michael63140627: In a tweet on July 8, Youssef claimed that Paxful had removed the proof of reserves that showed how much cryptocurrencies.",0,no cause,neutral,informative,,,,,,,,,,,
"RT @ReplyGPT: @Olanrew04754564 @MiniPepebsc @MiniPepebsc Ah, yes, because nothing screams financial stability like a cryptocurrency .",0,no cause,neutral,other,,,,,,,,,,,
If you're experiencing problems withdrawing your cryptocurrency or if your account is frozen on any of these frauduâ€¦ https://t.co/RqfMu7eyTm,0,no cause,neutral,informative,,,,,,,,,,,
"The team is former D. E. Shaw, Microsoft, CoinDCX / Okto and Franklin Templeton veterans and collaborates closely.",0,no cause,neutral,informative,,,,,,,,,,,
"Former CEO of Paxful says ""Stop trading on this cryptocurrency  exchange immediately!""",0,no cause,neutral,informative,,,,,,,,,,,
"
If the code of a cryptocurrency is secure and the community trust is high.",0,no cause,neutral,informative,,,,,,,,,,,
"  @Frankie_Candles @CryptoLifer33 Bitcoin breaks $40,000!",0,no cause,positive,excitement,,,,,,,,,,,
"Happy birthday to bombay stock exchange. 
BSE was established on 9 july 1875.
#HBD to #BSE 
#cryptocurrency",0,no cause,positive,happy,,,,,,,,,,,
"RT @ChirpDeWi: While others promise, #ChirpDeWi delivers! We're thrilled to announce the shipment of our first batch of #miners to 33 count.",0,no cause,positive,happy,,,,,,,,,,,
"RT @SatoshiBTCs___: The iteration of #cryptocurrency
Bitcoin, Ethereum, Core are freedom. 

#Bitcoin 
#Ethereum 
#CORE 

Do not miss Câ€¦",0,no cause,positive,encouragement,,,,,,,,,,,
Vorsi sounds intriguing! With global free mining and airdrop funds accounting for 45% of Token .,0,no cause,positive,curious,,,,,,,,,,,
"#Bitcoin and #Ethereum are two of the most popular cryptocurrencies in the world. They are both secure, transparent.",0,no cause,positive,other,,,,,,,,,,,
"RT @BhambiePleyah: @AshleyDCan @pizzaguru01 Just tweeted: ""Crypto market movements have been interesting to watch lately! ",0,no cause,positive,other,,,,,,,,,,,
RT @cryptojack: Passive income starts by purchasing _____ #cryptocurrency,0,no cause,positive,happy,,,,,,,,,,,
"BREAKING:

Former CEO of Paxful says ""Stop trading on this cryptocurrency  exchange immediately!""",1,"""Stop trading on this cryptocurrency  exchange immediately!""",negative,informational,,,,,,,,,,,
"RT @Joetorch1: @WatcherGuru ""The transaction that first gave Bitcoin monetary value was in October 2009, when Finnish computer science study.",0,no cause,neutral,informational,,,,,,,,,,,
RT @amsolex: @steadydey I still never forget how Elon Musk use one tweet to crash cryptocurrency that year .,1,Elon Musk use one tweet to crash cryptocurrency that year ,negative,sad,,,,,,,,,,,
"I just published 12 Powerful Crypto Scanners For Traders 
#Crypto #cryptocurrency 
https://t.co/Fmv7CtLMfA",0,no cause,positive,happy,,,,,,,,,,,
"RT @DucThu82: Nicolas is Satoshi, believe it or not!
Here's what Satoshi said in 2010: ""10 years from now I'll make a better and faster cry.",0,"Nicolas is Satoshi, believe it or not",positive,confidence,,,,,,,,,,,
"In the beginning, there was chaos, then came the birth of #cryptocurrency. Just like in metaphysics, a new universe.",0,no cause,negative,other,,,,,,,,,,,
"  Unlock the potential of Web3 with @WOIDAI and @AIWOID, the visionaries behind WOID, the most advanced .",0,no cause,positive,informational,,,,,,,,,,,
"RT @Toobit_official: GM!Which #crypto are you #trading this #weekend? � Let us know in the comments below.

#cryptocurrency #cryptotwit",0,no cause,neutral,other,,,,,,,,,,,
"  Join the revolution of Web3 with @WOIDAI and @AIWOID at the helm of WOID, the cutting-edge cryptocurrencyhttps://t.co/8QglFWHPAU",0,no cause,positive,excitement,,,,,,,,,,,
"$TTWO Awaiting Buy Signal based off 5 signals $3,030 net profit 3.63 profit factor 80% win rate on a 15-min chart.",0,no cause,neutral,informational,,,,,,,,,,,
"RT @PopBase: BLACKPINK accounts for more than 85% of YG Entertainment's operating profit, Hyundai Motor Securities reports. ",0,no cause,neutral,informational,,,,,,,,,,,
RT @BeanBeanNew: The people tryna profit off P'Freen's intellectual property deserve jail time...y'all weren't there when girl was building.,0,no cause,negative,other,,,,,,,,,,,
Conflict between profit-driven Pharma and NHS persists due to unequal power. #PeoplesRepublic,0,no cause,negative,sad,,,,,,,,,,,
"What is Business?
Business is any activity that you engage in or are busy doing that yields profit or dividends.

Gâ€¦ https://t.co/54p6FMNam6",0,no cause,neutral,informative,,,,,,,,,,,
